step 23183 	 return [0.0047749  0.00865596 0.0101957  0.01173134 0.0104371 ], ([0.00130161 0.00172499 0.00172042 0.0014833  0.00109703]) 	 loss 1.710E-01 	 horizons 19.0
step 23373 	 return [0.006652   0.00901262 0.00804931 0.01017767 0.00883508], ([0.00150389 0.00308816 0.00117419 0.00217427 0.00121062]) 	 loss 1.754E-01 	 horizons 19.0
step 23563 	 return [0.0031787  0.01005687 0.01197721 0.00963022 0.01148334], ([0.00083726 0.00100601 0.00146593 0.00162055 0.00151657]) 	 loss 1.790E-01 	 horizons 19.0
step 23753 	 return [0.00321743 0.0097019  0.01176984 0.01171715 0.01050262], ([0.00052627 0.00033735 0.00090296 0.00124415 0.00102147]) 	 loss 1.749E-01 	 horizons 19.0
step 23943 	 return [0.00296671 0.01036949 0.01298294 0.01029457 0.01197798], ([1.2338759e-05 4.5150012e-04 5.2162935e-04 3.5027671e-04 5.8459450e-04]) 	 loss 1.750E-01 	 horizons 19.0
step 24133 	 return [0.00496124 0.01004304 0.01017674 0.01177822 0.01001631], ([0.0014012  0.0013577  0.00135934 0.0015028  0.00132802]) 	 loss 1.504E-01 	 horizons 19.0
step 24323 	 return [0.00291009 0.00973991 0.01170981 0.0106629  0.01123881], ([9.5211843e-05 6.1595609e-04 1.6193917e-03 2.1192159e-03 2.0119280e-03]) 	 loss 1.518E-01 	 horizons 19.0
step 24513 	 return [0.00573915 0.01308381 0.01106538 0.00751355 0.00856898], ([7.2058952e-05 1.1177630e-04 7.9761917e-04 5.8008485e-05 3.1570155e-05]) 	 loss 1.400E-01 	 horizons 19.0
step 24703 	 return [0.00576317 0.01312106 0.01079951 0.00753289 0.00855846], ([9.6078591e-05 1.4903508e-04 1.0634921e-03 7.7344666e-05 4.2093547e-05]) 	 loss 1.444E-01 	 horizons 19.0
step 24893 	 return [0.00790902 0.01073213 0.00690719 0.0086234  0.00833513], ([0.00044788 0.00179925 0.00038902 0.00247265 0.00024461]) 	 loss 1.406E-01 	 horizons 19.0
step 25083 	 return [0.00289062 0.00981543 0.01262311 0.01091365 0.01200675], ([0.00019234 0.00139583 0.00060338 0.00148433 0.00191416]) 	 loss 1.110E-01 	 horizons 19.0
step 25273 	 return [0.00295596 0.01044051 0.0129941  0.01040949 0.01188859], ([1.7977001e-05 4.6862880e-04 5.2147999e-04 3.0314230e-04 5.4909976e-04]) 	 loss 1.140E-01 	 horizons 19.0
step 25463 	 return [0.00291234 0.01050064 0.01268798 0.01017851 0.01141828], ([5.6992758e-05 1.2367228e-03 7.9337513e-04 9.7126444e-04 1.0219292e-03]) 	 loss 1.276E-01 	 horizons 19.0
step 25653 	 return [0.00597243 0.01275226 0.01122479 0.00815787 0.00797751], ([0.00049139 0.00054264 0.00095839 0.00114527 0.00117348]) 	 loss 1.063E-01 	 horizons 19.0
step 25843 	 return [0.00699445 0.01193253 0.00863354 0.01004302 0.00806055], ([8.0666039e-05 2.2549051e-04 2.8339858e-04 2.8167105e-05 1.1839106e-03]) 	 loss 1.019E-01 	 horizons 19.0
step 26033 	 return [0.00813296 0.01163175 0.0071017  0.00985972 0.00845743], ([0.000000e+00 9.313226e-10 0.000000e+00 0.000000e+00 9.313226e-10]) 	 loss 1.081E-01 	 horizons 19.0
step 26223 	 return [0.         0.01051725 0.0135363  0.01154178 0.01268377], ([0.         0.00037811 0.00122874 0.00115788 0.00107814]) 	 loss 8.918E-02 	 horizons 19.0
step 26413 	 return [0.00413851 0.00919631 0.01124816 0.01231913 0.01069656], ([0.00039692 0.00053399 0.00076448 0.00072135 0.00102857]) 	 loss 8.081E-02 	 horizons 19.0
step 26603 	 return [0.00399724 0.00953929 0.01103346 0.0129055  0.00947675], ([0.00053097 0.00057614 0.00099546 0.00073216 0.0007932 ]) 	 loss 8.244E-02 	 horizons 19.0
step 26793 	 return [0.00437996 0.00933162 0.01056383 0.01238841 0.010457  ], ([0.00034754 0.00067261 0.00070722 0.00092428 0.00088548]) 	 loss 7.194E-02 	 horizons 19.0
step 26983 	 return [0.00684891 0.01174195 0.00891149 0.00941817 0.00725093], ([0.00032566 0.00145894 0.00082233 0.00132267 0.00241329]) 	 loss 8.191E-02 	 horizons 19.0
step 27173 	 return [0.0066155  0.01226025 0.00973522 0.00934838 0.00820944], ([0.00059084 0.00054305 0.00148097 0.00122796 0.00086335]) 	 loss 8.207E-02 	 horizons 19.0
step 27363 	 return [0.00571514 0.01304655 0.01133125 0.00749421 0.00857951], ([4.656613e-10 0.000000e+00 9.313226e-10 4.656613e-10 9.313226e-10]) 	 loss 6.718E-02 	 horizons 19.0
