step 10170 	 return [0.         0.00493239 0.00541703], ([0.0000000e+00 4.6218567e-05 1.1781925e-05]) 	 loss 1.069E-01 	 horizons 9.0
step 10260 	 return [0.0036816  0.00243615 0.00125828], ([2.9697057e-04 5.7694415e-05 2.9714594e-05]) 	 loss 8.432E-02 	 horizons 9.0
step 10350 	 return [0.00312473 0.00334599 0.00098199], ([4.1037315e-04 1.4442820e-04 1.5602356e-05]) 	 loss 8.114E-02 	 horizons 9.0
step 10440 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 6.391E-02 	 horizons 9.0
step 10530 	 return [0.00355385 0.00328992 0.00097252], ([2.8010702e-04 9.9538374e-05 3.2780801e-05]) 	 loss 4.198E-02 	 horizons 9.0
step 10620 	 return [0.00333008 0.00336438 0.0009866 ], ([4.3307539e-04 7.6541000e-05 5.4504553e-06]) 	 loss 3.492E-02 	 horizons 9.0
step 10710 	 return [0.00315251 0.00339195 0.00098826], ([4.3370886e-04 7.4301992e-05 5.2498490e-06]) 	 loss 3.059E-02 	 horizons 9.0
step 10800 	 return [0.00297454 0.00348506 0.00099142], ([3.546178e-04 1.949525e-04 4.752499e-06]) 	 loss 2.869E-02 	 horizons 9.0
step 10890 	 return [0.00354817 0.00254869 0.00124403], ([4.5171546e-05 2.5106492e-04 8.7293622e-05]) 	 loss 1.905E-02 	 horizons 9.0
step 10980 	 return [0.00353312 0.002465   0.00127313], ([2.3283064e-10 0.0000000e+00 1.1641532e-10]) 	 loss 1.771E-02 	 horizons 9.0
step 11070 	 return [0.00278614 0.00386539 0.00099581], ([8.8633769e-06 2.6661673e-04 1.6550747e-06]) 	 loss 2.312E-02 	 horizons 9.0
step 11160 	 return [0.00350688 0.00333313 0.00098438], ([3.5360456e-04 6.2495470e-05 4.4502785e-06]) 	 loss 2.145E-02 	 horizons 9.0
step 11250 	 return [0.00278807 0.00380721 0.00099545], ([9.4753495e-06 2.8502528e-04 1.7693492e-06]) 	 loss 1.882E-02 	 horizons 9.0
step 11340 	 return [0.00382261 0.00234196 0.00120886], ([3.623349e-04 6.188485e-05 3.253965e-05]) 	 loss 2.643E-02 	 horizons 9.0
step 11430 	 return [0.00279001 0.00374903 0.00099509], ([9.6707372e-06 2.9090268e-04 1.8058344e-06]) 	 loss 3.745E-02 	 horizons 9.0
step 11520 	 return [0.0027842  0.00392357 0.00099617], ([7.7365894e-06 2.3272214e-04 1.4446676e-06]) 	 loss 2.032E-02 	 horizons 9.0
step 11610 	 return [0.00353312 0.002465   0.00127313], ([2.3283064e-10 0.0000000e+00 1.1641532e-10]) 	 loss 1.677E-02 	 horizons 9.0
step 11700 	 return [0.0036084  0.00288344 0.00112764], ([7.5285905e-05 4.1844163e-04 1.4548935e-04]) 	 loss 2.283E-02 	 horizons 9.0
step 11790 	 return [0.00364977 0.00269812 0.00118018], ([0.00025656 0.0003591  0.00014274]) 	 loss 2.184E-02 	 horizons 9.0
step 11880 	 return [0.00359334 0.00279976 0.00115674], ([7.3764822e-05 4.0998738e-04 1.4254986e-04]) 	 loss 1.599E-02 	 horizons 9.0
step 11970 	 return [0.00297648 0.00342688 0.00099105], ([3.5360458e-04 6.2495470e-05 4.4502785e-06]) 	 loss 1.965E-02 	 horizons 9.0
step 12060 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 2.843E-02 	 horizons 9.0
step 12150 	 return [0.00306488 0.00341125 0.00098994], ([4.0510489e-04 7.1597555e-05 5.0984340e-06]) 	 loss 2.394E-02 	 horizons 9.0
step 12240 	 return [0.00360736 0.00245058 0.0012657 ], ([2.2272792e-04 4.3270811e-05 2.2285945e-05]) 	 loss 1.383E-02 	 horizons 9.0
step 12330 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.704E-02 	 horizons 9.0
step 12420 	 return [0.00362242 0.00253427 0.00123661], ([2.2228906e-04 2.5946126e-04 8.7661407e-05]) 	 loss 2.588E-02 	 horizons 9.0
step 12510 	 return [0.00341848 0.00334876 0.00098549], ([4.0510492e-04 7.1597555e-05 5.0984345e-06]) 	 loss 2.432E-02 	 horizons 9.0
step 12600 	 return [0.00353312 0.002465   0.00127313], ([2.3283064e-10 0.0000000e+00 1.1641532e-10]) 	 loss 2.159E-02 	 horizons 9.0
step 12690 	 return [0.00354817 0.00254869 0.00124403], ([4.5171546e-05 2.5106495e-04 8.7293614e-05]) 	 loss 2.202E-02 	 horizons 9.0
step 12780 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 2.630E-02 	 horizons 9.0
step 12870 	 return [0.         0.00490101 0.00551559], ([0.         0.00023362 0.00026263]) 	 loss 1.869E-02 	 horizons 9.0
step 12960 	 return [0.00288808 0.0034425  0.00099217], ([2.6520342e-04 4.6871603e-05 3.3377087e-06]) 	 loss 1.655E-02 	 horizons 9.0
step 13050 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 2.029E-02 	 horizons 9.0
