step 27651 	 return [0.0073922  0.01201629 0.00928929], ([0.00020316 0.00055498 0.00147417]) 	 loss 2.256E-01 	 horizons 19.0
step 27841 	 return [0.0090423  0.01056165 0.00959674], ([0.00101786 0.00091331 0.00196306]) 	 loss 2.116E-01 	 horizons 19.0
step 28031 	 return [0.00726381 0.01192882 0.00939463], ([0.00044848 0.00062344 0.00068097]) 	 loss 2.092E-01 	 horizons 19.0
step 28221 	 return [0.00748766 0.0113534  0.01009236], ([0.00120686 0.00128563 0.00120318]) 	 loss 2.224E-01 	 horizons 19.0
step 28411 	 return [0.00730446 0.01192848 0.00830686], ([0.00069597 0.00096237 0.00084433]) 	 loss 2.000E-01 	 horizons 19.0
step 28601 	 return [0.00888323 0.010945   0.01021885], ([0.0011417  0.00133508 0.00217291]) 	 loss 1.860E-01 	 horizons 19.0
step 28791 	 return [0.00797897 0.01036615 0.00977592], ([0.00043247 0.00107814 0.00159959]) 	 loss 1.701E-01 	 horizons 19.0
step 28981 	 return [0.00730694 0.01042549 0.01118616], ([0.00032236 0.00064421 0.0016066 ]) 	 loss 1.687E-01 	 horizons 19.0
step 29171 	 return [0.00855369 0.01147773 0.01008467], ([0.00090657 0.00071637 0.00150448]) 	 loss 1.713E-01 	 horizons 19.0
step 29361 	 return [0.00943467 0.01044821 0.01180112], ([0.00097453 0.00071389 0.00164857]) 	 loss 1.803E-01 	 horizons 19.0
step 29551 	 return [0.00838887 0.01000458 0.01171952], ([0.0015271  0.00087442 0.00177721]) 	 loss 1.603E-01 	 horizons 19.0
step 29741 	 return [0.00776525 0.01068181 0.01048696], ([0.00068746 0.00077164 0.00139805]) 	 loss 1.862E-01 	 horizons 19.0
step 29931 	 return [0.00876148 0.0104103  0.01074848], ([0.00091182 0.0006126  0.001736  ]) 	 loss 1.760E-01 	 horizons 19.0
step 30121 	 return [0.00896368 0.01002389 0.01075532], ([0.00072039 0.00105773 0.0019768 ]) 	 loss 1.648E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-spatial__456__1781487940[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/5ggf9wfz[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_034540-5ggf9wfz/logs[0m
