step 18296 	 return [0.00617618 0.00946878 0.01000361], ([0.00102549 0.00109276 0.00162329]) 	 loss 3.597E-01 	 horizons 19.0
step 18486 	 return [0.00501945 0.0095357  0.01111934], ([0.00091393 0.00128907 0.00146535]) 	 loss 3.307E-01 	 horizons 19.0
step 18676 	 return [0.00594032 0.00971519 0.01047864], ([0.00073441 0.00093868 0.00084329]) 	 loss 3.010E-01 	 horizons 19.0
step 18866 	 return [0.00659831 0.00958134 0.00971205], ([0.00092823 0.0008849  0.0011249 ]) 	 loss 3.169E-01 	 horizons 19.0
step 19056 	 return [0.00546056 0.00944278 0.01107412], ([0.00074253 0.00136053 0.00120304]) 	 loss 2.976E-01 	 horizons 19.0
step 19246 	 return [0.0060799  0.01037231 0.00951369], ([0.00047836 0.00089776 0.00135668]) 	 loss 3.095E-01 	 horizons 19.0
step 19436 	 return [0.00595294 0.00998253 0.00960633], ([0.00043224 0.00074464 0.00121371]) 	 loss 2.907E-01 	 horizons 19.0
step 19626 	 return [0.00549045 0.01127071 0.01116646], ([0.00068857 0.00108946 0.00207521]) 	 loss 2.729E-01 	 horizons 19.0
step 19816 	 return [0.00575225 0.00971336 0.01078397], ([0.00099639 0.00094605 0.00193101]) 	 loss 2.745E-01 	 horizons 19.0
step 20006 	 return [0.00595767 0.01071335 0.01133657], ([0.00066101 0.00135438 0.00122862]) 	 loss 2.731E-01 	 horizons 19.0
step 20196 	 return [0.00647763 0.01001379 0.01016013], ([0.00076928 0.00086089 0.00110138]) 	 loss 2.620E-01 	 horizons 19.0
step 20386 	 return [0.00680218 0.00941312 0.00921823], ([0.00073362 0.00069376 0.00105914]) 	 loss 2.605E-01 	 horizons 19.0
step 20576 	 return [0.00703667 0.00961682 0.00807071], ([0.00049801 0.00093681 0.00051472]) 	 loss 2.698E-01 	 horizons 19.0
step 20766 	 return [0.00548102 0.0105816  0.01081578], ([0.00075381 0.00218007 0.00178587]) 	 loss 2.607E-01 	 horizons 19.0
step 20956 	 return [0.00633607 0.01114549 0.00985931], ([0.0003352  0.00122108 0.00117187]) 	 loss 2.728E-01 	 horizons 19.0
step 21146 	 return [0.00650724 0.01049369 0.01032494], ([0.00051419 0.00156016 0.0015598 ]) 	 loss 2.625E-01 	 horizons 19.0
step 21336 	 return [0.00366842 0.01064874 0.01101107], ([0.00132195 0.00190425 0.00106131]) 	 loss 2.306E-01 	 horizons 19.0
step 21526 	 return [0.00624916 0.01126651 0.00963111], ([0.00080681 0.00110569 0.00117972]) 	 loss 2.243E-01 	 horizons 19.0
step 21716 	 return [0.00621075 0.00945669 0.01185129], ([0.00087473 0.00095826 0.00076923]) 	 loss 2.232E-01 	 horizons 19.0
step 21906 	 return [0.00621011 0.01206054 0.00956667], ([0.00045503 0.00089741 0.00084118]) 	 loss 2.379E-01 	 horizons 19.0
step 22096 	 return [0.00580805 0.01202062 0.01104006], ([0.00042662 0.00055769 0.00206379]) 	 loss 2.155E-01 	 horizons 19.0
step 22286 	 return [0.00556799 0.01124743 0.01161434], ([0.00061749 0.00130185 0.00150394]) 	 loss 1.995E-01 	 horizons 19.0
step 22476 	 return [0.00609254 0.01110937 0.01100579], ([0.00061589 0.0014447  0.00117288]) 	 loss 2.550E-01 	 horizons 19.0
step 22666 	 return [0.0052542  0.01083431 0.01156018], ([0.00052913 0.00064537 0.00193188]) 	 loss 2.498E-01 	 horizons 19.0
step 22856 	 return [0.00530148 0.01109125 0.01245728], ([0.00122875 0.00097105 0.00072595]) 	 loss 2.445E-01 	 horizons 19.0
step 23046 	 return [0.00584046 0.01147875 0.01229262], ([0.00088955 0.00105245 0.00110687]) 	 loss 2.320E-01 	 horizons 19.0
step 23236 	 return [0.00655585 0.01183714 0.00939182], ([0.00067823 0.00092613 0.00170154]) 	 loss 2.198E-01 	 horizons 19.0
step 23426 	 return [0.00597374 0.01128614 0.01118926], ([0.00064189 0.0012062  0.00108171]) 	 loss 2.268E-01 	 horizons 19.0
step 23616 	 return [0.00522339 0.0103782  0.01213975], ([0.00051008 0.00105929 0.00093219]) 	 loss 2.204E-01 	 horizons 19.0
step 23806 	 return [0.00571852 0.01006763 0.01227537], ([0.00050023 0.00161741 0.00078797]) 	 loss 2.348E-01 	 horizons 19.0
step 23996 	 return [0.00739954 0.01140004 0.01102714], ([0.00081926 0.00118165 0.00152867]) 	 loss 2.185E-01 	 horizons 19.0
step 24186 	 return [0.00663798 0.01054341 0.01063051], ([0.0010033  0.00105526 0.00096447]) 	 loss 2.199E-01 	 horizons 19.0
step 24376 	 return [0.00574097 0.010805   0.01219665], ([0.00054692 0.00052558 0.00166703]) 	 loss 2.296E-01 	 horizons 19.0
step 24566 	 return [0.00774799 0.01079421 0.01169259], ([0.00112984 0.00154573 0.00115079]) 	 loss 2.149E-01 	 horizons 19.0
step 24756 	 return [0.00731356 0.01089238 0.01230185], ([0.00089206 0.00215173 0.00062413]) 	 loss 2.237E-01 	 horizons 19.0
step 24946 	 return [0.00688978 0.00950448 0.01348981], ([0.00075892 0.00136603 0.00153871]) 	 loss 2.183E-01 	 horizons 19.0
step 25136 	 return [0.00776229 0.01206653 0.01182934], ([0.00093271 0.0017426  0.00093846]) 	 loss 2.121E-01 	 horizons 19.0
step 25326 	 return [0.00826297 0.01247311 0.01054853], ([0.00094773 0.00106196 0.00136257]) 	 loss 2.046E-01 	 horizons 19.0
step 25516 	 return [0.00781127 0.01176137 0.01328362], ([0.00092216 0.00177179 0.00124115]) 	 loss 2.021E-01 	 horizons 19.0
step 25706 	 return [0.0082325  0.01205586 0.0108411 ], ([0.00120728 0.0014907  0.00098218]) 	 loss 1.919E-01 	 horizons 19.0
step 25896 	 return [0.00822359 0.01283906 0.00999849], ([0.00058597 0.00055318 0.00109375]) 	 loss 2.065E-01 	 horizons 19.0
step 26086 	 return [0.00804561 0.0124425  0.01083506], ([0.00082094 0.00133945 0.00101577]) 	 loss 2.020E-01 	 horizons 19.0
step 26276 	 return [0.00779404 0.01212529 0.01251684], ([0.00076742 0.00181338 0.00123942]) 	 loss 1.941E-01 	 horizons 19.0
step 26466 	 return [0.00755719 0.00966583 0.01262493], ([0.00138996 0.00176993 0.00061317]) 	 loss 1.908E-01 	 horizons 19.0
step 26656 	 return [0.00790944 0.01260391 0.01279251], ([0.00097561 0.00106537 0.00113576]) 	 loss 1.668E-01 	 horizons 19.0
step 26846 	 return [0.00856925 0.01088439 0.01266451], ([0.00086494 0.00142472 0.00066569]) 	 loss 1.605E-01 	 horizons 19.0
step 27036 	 return [0.0075687  0.01112847 0.01232474], ([0.00144677 0.00244662 0.00106186]) 	 loss 1.739E-01 	 horizons 19.0
step 27226 	 return [0.00706805 0.0126137  0.00984302], ([0.00086511 0.00073623 0.00071537]) 	 loss 1.687E-01 	 horizons 19.0
step 27416 	 return [0.00823933 0.01155424 0.01201173], ([0.00120092 0.00180644 0.00079335]) 	 loss 1.551E-01 	 horizons 19.0
step 27606 	 return [0.00796142 0.01204011 0.00978049], ([0.00056053 0.0007253  0.00073447]) 	 loss 1.436E-01 	 horizons 19.0
step 27796 	 return [0.00867574 0.01264114 0.01245333], ([0.00048975 0.00076598 0.00074637]) 	 loss 1.503E-01 	 horizons 19.0
step 27986 	 return [0.008918   0.01149312 0.01216878], ([0.00029607 0.00052884 0.00109928]) 	 loss 1.519E-01 	 horizons 19.0
step 28176 	 return [0.00790651 0.01292265 0.01254189], ([0.00088092 0.001009   0.00063331]) 	 loss 1.356E-01 	 horizons 19.0
step 28366 	 return [0.00856212 0.01228224 0.01145463], ([0.00052667 0.00126944 0.00085322]) 	 loss 1.368E-01 	 horizons 19.0
step 28556 	 return [0.00818362 0.01095049 0.01290075], ([0.00088342 0.00136469 0.00100803]) 	 loss 1.194E-01 	 horizons 19.0
step 28746 	 return [0.00813885 0.01300636 0.0120227 ], ([0.0009331  0.00062356 0.00072389]) 	 loss 1.185E-01 	 horizons 19.0
step 28936 	 return [0.00895171 0.0110478  0.01279831], ([0.00031194 0.0010718  0.00054646]) 	 loss 1.245E-01 	 horizons 19.0
step 29126 	 return [0.00835403 0.01284248 0.01185886], ([0.00051437 0.00083474 0.00080452]) 	 loss 1.088E-01 	 horizons 19.0
step 29316 	 return [0.00853552 0.01264448 0.01143141], ([0.0004283  0.00094838 0.00105362]) 	 loss 1.070E-01 	 horizons 19.0
step 29506 	 return [0.00885137 0.01191532 0.01192787], ([0.00023523 0.00069501 0.0008836 ]) 	 loss 8.367E-02 	 horizons 19.0
step 29696 	 return [0.00884997 0.01131376 0.01189237], ([0.00046068 0.00096835 0.00121329]) 	 loss 8.939E-02 	 horizons 19.0
step 29886 	 return [0.00810327 0.01148581 0.01302445], ([0.00064546 0.0005675  0.0009529 ]) 	 loss 7.593E-02 	 horizons 19.0
step 30076 	 return [0.00902148 0.01199623 0.01315783], ([0.00032342 0.00046385 0.00049575]) 	 loss 6.892E-02 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-spatial__789__1781487941[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/l1rgclvm[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_034542-l1rgclvm/logs[0m
