step 26641 	 return [0.00862753 0.00993205 0.01267625], ([0.00033222 0.00041319 0.00035026]) 	 loss 8.713E-02 	 horizons 19.0
step 26831 	 return [0.00887898 0.01023563 0.01287257], ([0.00056297 0.00043126 0.00018122]) 	 loss 7.717E-02 	 horizons 19.0
step 27021 	 return [0.00873089 0.00993451 0.01267563], ([0.00052193 0.0003193  0.0002875 ]) 	 loss 8.404E-02 	 horizons 19.0
step 27211 	 return [0.0090069  0.0101075  0.01276823], ([0.00070037 0.00016657 0.000179  ]) 	 loss 9.772E-02 	 horizons 19.0
step 27401 	 return [0.00879002 0.0102902  0.01291396], ([0.00051996 0.00058665 0.00026306]) 	 loss 1.095E-01 	 horizons 19.0
step 27591 	 return [0.00877986 0.00998576 0.01257771], ([0.00052801 0.0001687  0.00026014]) 	 loss 9.958E-02 	 horizons 19.0
step 27781 	 return [0.00929342 0.01038446 0.01286012], ([0.00051458 0.0006074  0.00048702]) 	 loss 1.119E-01 	 horizons 19.0
step 27971 	 return [0.00895902 0.01005421 0.01234196], ([0.00092854 0.00017719 0.00071336]) 	 loss 1.185E-01 	 horizons 19.0
step 28161 	 return [0.00875189 0.01019745 0.01281632], ([0.00066052 0.0006683  0.00032605]) 	 loss 1.107E-01 	 horizons 19.0
step 28351 	 return [0.00927956 0.0103299  0.01275854], ([0.0006002  0.00046718 0.0002847 ]) 	 loss 1.070E-01 	 horizons 19.0
step 28541 	 return [0.00935482 0.01048171 0.01258552], ([0.00076054 0.00077846 0.00086199]) 	 loss 1.027E-01 	 horizons 19.0
step 28731 	 return [0.00935181 0.01066183 0.01298383], ([0.00044652 0.00082008 0.00035302]) 	 loss 1.052E-01 	 horizons 19.0
step 28921 	 return [0.00936161 0.010804   0.01248699], ([0.00079335 0.0010085  0.00114768]) 	 loss 9.829E-02 	 horizons 19.0
step 29111 	 return [0.00918971 0.01047198 0.01288022], ([0.00069564 0.00064815 0.00030966]) 	 loss 1.138E-01 	 horizons 19.0
step 29301 	 return [0.00942994 0.01042554 0.01294434], ([0.00037587 0.0006022  0.00023634]) 	 loss 9.665E-02 	 horizons 19.0
step 29491 	 return [0.00952412 0.0111679  0.01307952], ([0.00051609 0.0011281  0.00055956]) 	 loss 1.078E-01 	 horizons 19.0
step 29681 	 return [0.00938595 0.01125337 0.01317006], ([0.00041882 0.00098251 0.00035192]) 	 loss 1.103E-01 	 horizons 19.0
step 29871 	 return [0.00961929 0.01100249 0.01317682], ([0.00061993 0.00077758 0.00042915]) 	 loss 1.223E-01 	 horizons 19.0
step 30061 	 return [0.00948062 0.01030242 0.01253642], ([0.000639   0.00037764 0.00028213]) 	 loss 1.271E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-spatial__1024__1781487941[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/vhhtx4f3[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_034542-vhhtx4f3/logs[0m
