step 9810 	 return [0.         0.         0.00606974 0.00493697 0.00627503], ([0.0000000e+00 0.0000000e+00 1.0876204e-05 6.1900137e-05 1.1013352e-04]) 	 loss 1.440E-01 	 horizons 9.0
step 9900 	 return [0.         0.         0.00490166 0.00425487 0.00875348], ([0.         0.         0.00072302 0.00100662 0.00115509]) 	 loss 1.264E-01 	 horizons 9.0
step 9990 	 return [0.         0.         0.00608161 0.00500451 0.00639519], ([0.000000e+00 0.000000e+00 9.493529e-06 5.403087e-05 9.613242e-05]) 	 loss 1.129E-01 	 horizons 9.0
step 10080 	 return [0.         0.         0.00360635 0.0023264  0.01258006], ([0.         0.         0.00051731 0.00141238 0.00226041]) 	 loss 1.307E-01 	 horizons 9.0
step 10170 	 return [0.         0.         0.00538073 0.00254527 0.0108592 ], ([0.         0.         0.00074601 0.00119113 0.00021926]) 	 loss 1.104E-01 	 horizons 9.0
step 10260 	 return [0.         0.         0.00606578 0.00405699 0.00719261], ([0.         0.         0.00013018 0.00125868 0.00133681]) 	 loss 1.217E-01 	 horizons 9.0
step 10350 	 return [0.00068129 0.00920551 0.00122736 0.00017945 0.        ], ([1.0490544e-03 1.0047252e-03 7.1598054e-04 4.8677239e-06 0.0000000e+00]) 	 loss 9.715E-02 	 horizons 9.0
step 10440 	 return [0.00213085 0.00728701 0.00297644 0.00187637 0.        ], ([0.00085494 0.00067754 0.00079603 0.00063524 0.        ]) 	 loss 1.030E-01 	 horizons 9.0
step 10530 	 return [0.         0.00602529 0.00858141 0.00167615 0.        ], ([0.         0.002054   0.00099561 0.00065964 0.        ]) 	 loss 1.004E-01 	 horizons 9.0
step 10620 	 return [0.         0.         0.00608636 0.00503153 0.00644326], ([0.000000e+00 0.000000e+00 4.656613e-10 4.656613e-10 4.656613e-10]) 	 loss 1.052E-01 	 horizons 9.0
step 10710 	 return [0.00284966 0.0074355  0.00039846 0.00039281 0.        ], ([0.00063189 0.00045062 0.00010554 0.00044241 0.        ]) 	 loss 8.358E-02 	 horizons 9.0
