step 26781 	 return [0.00988773 0.01304399 0.01092725], ([0.00025599 0.0002891  0.00074652]) 	 loss 1.908E-01 	 horizons 19.0
step 26971 	 return [0.00996859 0.0139457  0.01080433], ([0.00031487 0.00100486 0.00029689]) 	 loss 1.535E-01 	 horizons 19.0
step 27161 	 return [0.01003376 0.0116613  0.01260353], ([0.00024656 0.00077944 0.00049612]) 	 loss 1.568E-01 	 horizons 19.0
step 27351 	 return [0.00998433 0.0145702  0.01103849], ([0.00027406 0.00072087 0.0008314 ]) 	 loss 1.491E-01 	 horizons 19.0
step 27541 	 return [0.01022519 0.01297678 0.01234366], ([0.00031015 0.00077141 0.00022866]) 	 loss 1.445E-01 	 horizons 19.0
step 27731 	 return [0.01005113 0.01343467 0.01203409], ([0.00017111 0.00012351 0.00034633]) 	 loss 1.559E-01 	 horizons 19.0
step 27921 	 return [0.01011906 0.01338822 0.01212402], ([0.000344   0.00083324 0.00094094]) 	 loss 1.624E-01 	 horizons 19.0
step 28111 	 return [0.01010235 0.01464334 0.01062061], ([0.00027241 0.0004516  0.00052001]) 	 loss 1.557E-01 	 horizons 19.0
step 28301 	 return [0.01017886 0.01336811 0.01238937], ([0.00025034 0.00019747 0.00050908]) 	 loss 1.392E-01 	 horizons 19.0
step 28491 	 return [0.00997161 0.01411744 0.01168109], ([0.00051546 0.00072424 0.00103454]) 	 loss 1.359E-01 	 horizons 19.0
step 28681 	 return [0.0102459  0.01318598 0.01214963], ([0.0002598  0.00058604 0.00050316]) 	 loss 1.324E-01 	 horizons 19.0
step 28871 	 return [0.01005202 0.01351513 0.01196818], ([0.0001926  0.00040223 0.00063184]) 	 loss 1.244E-01 	 horizons 19.0
step 29061 	 return [0.01008124 0.01339487 0.01182264], ([0.00028231 0.00045491 0.00096198]) 	 loss 1.338E-01 	 horizons 19.0
step 29251 	 return [0.00985541 0.014714   0.0106607 ], ([0.0001875  0.00056967 0.00075567]) 	 loss 1.444E-01 	 horizons 19.0
step 29441 	 return [0.00968143 0.01267495 0.01224363], ([0.00016948 0.00110022 0.00077339]) 	 loss 1.689E-01 	 horizons 19.0
step 29631 	 return [0.01013574 0.01398694 0.01159465], ([0.00019226 0.00080915 0.00078277]) 	 loss 1.870E-01 	 horizons 19.0
step 29821 	 return [0.01014674 0.01459416 0.0110159 ], ([0.00026531 0.00067506 0.00088799]) 	 loss 1.542E-01 	 horizons 19.0
step 30011 	 return [0.01007165 0.01326092 0.01230296], ([0.00033145 0.00024219 0.0004482 ]) 	 loss 1.637E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-l0__456__1781487421[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/kd4y1k2f[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_033701-kd4y1k2f/logs[0m
