step 22035 	 return [0.00441576 0.00900189 0.00995288 0.01514225 0.01268988], ([0.00034782 0.00024428 0.00070952 0.00099304 0.00078626]) 	 loss 1.988E-01 	 horizons 19.0
step 22225 	 return [0.00702788 0.00916365 0.00733241 0.00797711 0.00589212], ([0.00110011 0.00205375 0.0008388  0.0018495  0.00099464]) 	 loss 2.024E-01 	 horizons 19.0
step 22415 	 return [0.00381456 0.01023013 0.00958729 0.01436436 0.00934459], ([0.00047002 0.00149358 0.00090059 0.00123636 0.00201299]) 	 loss 1.625E-01 	 horizons 19.0
step 22605 	 return [0.00428684 0.00915532 0.01035286 0.01361287 0.0104824 ], ([1.6429227e-05 4.6572534e-04 7.9067302e-04 1.1246162e-03 1.1157633e-03]) 	 loss 1.817E-01 	 horizons 19.0
step 22795 	 return [0.00416729 0.00909684 0.01074379 0.01218773 0.01062124], ([0.00030789 0.00053532 0.00070126 0.0008965  0.00155068]) 	 loss 1.450E-01 	 horizons 19.0
step 22985 	 return [0.00504221 0.00915343 0.00868038 0.01506871 0.01074154], ([0.00102128 0.00090482 0.00094733 0.00248142 0.00254955]) 	 loss 1.542E-01 	 horizons 19.0
step 23175 	 return [0.00404766 0.00923334 0.01001964 0.01507075 0.01035297], ([0.00050431 0.00063995 0.00030761 0.00080201 0.00172743]) 	 loss 1.565E-01 	 horizons 19.0
step 23365 	 return [0.00468286 0.00873401 0.00923118 0.01210673 0.00870106], ([0.00053051 0.00033239 0.00074403 0.00148364 0.00137076]) 	 loss 1.655E-01 	 horizons 19.0
step 23555 	 return [0.00593802 0.00902703 0.00745865 0.01689773 0.01097787], ([0.00155734 0.00035642 0.00133552 0.00240032 0.0017606 ]) 	 loss 1.588E-01 	 horizons 19.0
step 23745 	 return [0.00414889 0.00879207 0.01030061 0.0117293  0.01071246], ([0.00034821 0.00034304 0.00066423 0.00155244 0.00179706]) 	 loss 1.564E-01 	 horizons 19.0
step 23935 	 return [0.00776124 0.01113985 0.00737619 0.00765482 0.00617644], ([4.4358373e-04 4.9491504e-05 2.6116110e-04 1.1439062e-05 6.3813187e-04]) 	 loss 1.587E-01 	 horizons 19.0
step 24125 	 return [0.00769331 0.01142873 0.00760071 0.0077302  0.00643366], ([4.4368426e-04 3.8536979e-04 5.6130980e-04 9.7060714e-05 9.0813715e-05]) 	 loss 1.467E-01 	 horizons 19.0
step 24315 	 return [0.00836586 0.00868974 0.00513424 0.01886385 0.0121499 ], ([4.7799284e-04 1.1137715e-03 8.3354150e-04 2.8280448e-04 9.4648713e-05]) 	 loss 1.345E-01 	 horizons 19.0
step 24505 	 return [0.00696649 0.0105904  0.00781077 0.00832491 0.00585405], ([0.00100657 0.00101274 0.00063258 0.00134354 0.00106096]) 	 loss 1.065E-01 	 horizons 19.0
step 24695 	 return [0.0077988  0.01119394 0.00743211 0.00767023 0.00638879], ([3.3089015e-04 1.1278270e-04 4.2894194e-04 5.7646259e-05 1.0748394e-06]) 	 loss 1.116E-01 	 horizons 19.0
step 24885 	 return [0.00719    0.01117925 0.00775424 0.0085674  0.00662197], ([0.00101469 0.00141438 0.00051671 0.00148313 0.00020961]) 	 loss 1.079E-01 	 horizons 19.0
step 25075 	 return [0.00849011 0.00905495 0.00488283 0.01895381 0.01218145], ([3.43471096e-04 1.12702524e-04 4.48442966e-04 5.96288555e-05
 4.30307310e-08]) 	 loss 1.083E-01 	 horizons 19.0
step 25265 	 return [0.00428701 0.00833701 0.00983802 0.015022   0.01250949], ([0.00050737 0.00117054 0.0005405  0.00094777 0.00099634]) 	 loss 1.082E-01 	 horizons 19.0
step 25455 	 return [0.00380151 0.01027878 0.009518   0.01363979 0.01115017], ([0.00052185 0.00107389 0.00066487 0.00156848 0.00092302]) 	 loss 8.447E-02 	 horizons 19.0
step 25645 	 return [0.00726139 0.00779272 0.00567985 0.01712267 0.01126831], ([0.0015526  0.00139928 0.00112126 0.00202987 0.00160893]) 	 loss 7.908E-02 	 horizons 19.0
step 25835 	 return [0.00756575 0.00853607 0.00552863 0.01727585 0.01103252], ([0.00060466 0.00202963 0.00135568 0.00561972 0.00368006]) 	 loss 8.861E-02 	 horizons 19.0
step 26025 	 return [0.00834282 0.00893747 0.00506414 0.0190489  0.01228293], ([0.00047308 0.00025152 0.00058633 0.00015119 0.00015554]) 	 loss 6.744E-02 	 horizons 19.0
step 26215 	 return [0.00453325 0.00915922 0.00962882 0.01542037 0.01258435], ([0.000464   0.00045786 0.0005902  0.00013585 0.00076809]) 	 loss 7.293E-02 	 horizons 19.0
step 26405 	 return [0.00450875 0.0087153  0.00933108 0.01557974 0.01071868], ([0.00059699 0.00080781 0.00082559 0.00114438 0.00148074]) 	 loss 6.336E-02 	 horizons 19.0
step 26595 	 return [0.0043107  0.00924399 0.00961814 0.01528002 0.0127163 ], ([0.00051774 0.00034622 0.00054069 0.00057092 0.00068888]) 	 loss 6.097E-02 	 horizons 19.0
step 26785 	 return [0.00842616 0.00904561 0.00503293 0.01896915 0.01221449], ([3.74349329e-04 1.19110075e-04 5.99153165e-04 7.11545945e-05
 9.91364359e-05]) 	 loss 6.124E-02 	 horizons 19.0
step 26975 	 return [0.00751347 0.00903311 0.00607189 0.01921939 0.01234228], ([0.00031859 0.00037519 0.00044656 0.00010333 0.00016096]) 	 loss 5.001E-02 	 horizons 19.0
step 27165 	 return [0.00836408 0.00904016 0.00509935 0.01903884 0.01225566], ([0.0004655  0.00014746 0.00065983 0.00017627 0.00014844]) 	 loss 5.281E-02 	 horizons 19.0
