step 11700 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 2.383E-02 	 horizons 9.0
step 11790 	 return [0.00373281 0.00327962 0.000953  ], ([2.4697528e-04 4.9727554e-05 7.0790105e-05]) 	 loss 1.502E-02 	 horizons 9.0
step 11880 	 return [0.00261806 0.00402907 0.00133827], ([0.00091384 0.00038741 0.00139513]) 	 loss 2.560E-02 	 horizons 9.0
step 11970 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 3.103E-02 	 horizons 9.0
step 12060 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 2.387E-02 	 horizons 9.0
step 12150 	 return [0.         0.00472196 0.00558851], ([0.         0.00051384 0.00032093]) 	 loss 2.441E-02 	 horizons 9.0
step 12240 	 return [0.0034872  0.00352662 0.00088574], ([0.00035928 0.00034528 0.00029527]) 	 loss 2.600E-02 	 horizons 9.0
step 12330 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 2.528E-02 	 horizons 9.0
step 12420 	 return [0.00366552 0.00335432 0.00096347], ([5.4510590e-05 1.5729418e-04 5.6047309e-05]) 	 loss 1.668E-02 	 horizons 9.0
step 12510 	 return [0.         0.00496873 0.00542552], ([0.000000e+00 3.046738e-05 7.592188e-06]) 	 loss 2.369E-02 	 horizons 9.0
step 12600 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 3.294E-02 	 horizons 9.0
step 12690 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 2.634E-02 	 horizons 9.0
step 12780 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.764E-02 	 horizons 9.0
step 12870 	 return [0.         0.00407966 0.00598968], ([0.         0.00058868 0.00036767]) 	 loss 1.680E-02 	 horizons 9.0
step 12960 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 1.241E-02 	 horizons 9.0
step 13050 	 return [0.00375973 0.00330678 0.00088394], ([2.2813010e-04 1.4686772e-05 2.9464622e-04]) 	 loss 2.145E-02 	 horizons 9.0
step 13140 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 2.475E-02 	 horizons 9.0
step 13230 	 return [0.00397515 0.00323012 0.00091793], ([3.571967e-04 8.828198e-05 8.743984e-05]) 	 loss 2.096E-02 	 horizons 9.0
step 13320 	 return [0.00403047 0.00315085 0.00089243], ([0.00035055 0.00023017 0.0001011 ]) 	 loss 1.105E-02 	 horizons 9.0
step 13410 	 return [0.         0.00496873 0.00542552], ([0.0000000e+00 3.0467378e-05 7.5921880e-06]) 	 loss 3.422E-02 	 horizons 9.0
step 13500 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.483E-02 	 horizons 9.0
step 13590 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.179E-02 	 horizons 9.0
step 13680 	 return [0.         0.00376182 0.00614417], ([0.         0.00020265 0.00025862]) 	 loss 2.138E-02 	 horizons 9.0
step 13770 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 2.393E-02 	 horizons 9.0
step 13860 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 9.864E-03 	 horizons 9.0
step 13950 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.052E-02 	 horizons 9.0
step 14040 	 return [0.00365758 0.0032957  0.0009586 ], ([7.8314079e-05 1.8566612e-05 7.0659786e-05]) 	 loss 1.873E-02 	 horizons 9.0
step 14130 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 2.180E-02 	 horizons 9.0
step 14220 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.196E-02 	 horizons 9.0
step 14310 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 9.260E-03 	 horizons 9.0
step 14400 	 return [0.00366918 0.00338636 0.00088394], ([4.3530781e-05 2.5342597e-04 2.9464622e-04]) 	 loss 1.293E-02 	 horizons 9.0
step 14490 	 return [0.00403916 0.00320845 0.00091214], ([3.5581042e-04 9.4021067e-05 8.5078755e-05]) 	 loss 2.012E-02 	 horizons 9.0
step 14580 	 return [0.00390373 0.00324992 0.00095137], ([3.364406e-04 7.995184e-05 5.928690e-05]) 	 loss 2.533E-02 	 horizons 9.0
step 14670 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 2.350E-02 	 horizons 9.0
step 14760 	 return [0.00426674 0.00316206 0.00090926], ([2.9210027e-04 7.0773713e-05 6.5081964e-05]) 	 loss 1.479E-02 	 horizons 9.0
step 14850 	 return [0.00366624 0.0033579  0.00096404], ([5.2326406e-05 1.6804515e-04 5.4331515e-05]) 	 loss 3.275E-02 	 horizons 9.0
step 14940 	 return [0.00341268 0.0035233  0.00098658], ([4.1396832e-04 3.3821427e-04 6.7535088e-06]) 	 loss 2.129E-02 	 horizons 9.0
step 15030 	 return [0.00365072 0.00341795 0.00097378], ([6.5930471e-05 2.3213029e-04 1.6754771e-05]) 	 loss 2.218E-02 	 horizons 9.0
step 15120 	 return [0.         0.00369427 0.00623038], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 3.076E-02 	 horizons 9.0
step 15210 	 return [0.0036672  0.00335992 0.00097797], ([4.9447852e-05 1.7409770e-04 1.2566078e-05]) 	 loss 2.124E-02 	 horizons 9.0
step 15300 	 return [0.0028555  0.00404693 0.00089663], ([2.2770197e-04 3.4995985e-05 2.9888164e-04]) 	 loss 1.527E-02 	 horizons 9.0
step 15390 	 return [0.00341203 0.00351962 0.000986  ], ([4.1497295e-04 3.3273723e-04 6.0624775e-06]) 	 loss 2.682E-02 	 horizons 9.0
step 15480 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.851E-02 	 horizons 9.0
step 15570 	 return [0.00393456 0.00319616 0.0009542 ], ([4.3416288e-04 1.2771365e-04 2.7955339e-05]) 	 loss 3.198E-02 	 horizons 9.0
step 15660 	 return [0.0028687 0.0039551 0.0009937], ([2.7167713e-04 2.1835818e-04 4.6215755e-06]) 	 loss 3.603E-02 	 horizons 9.0
