step 14940 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.439E-02 	 horizons 9.0
step 15030 	 return [0.         0.00552913 0.00459765], ([0.0000000e+00 2.1030821e-04 9.3981420e-05]) 	 loss 7.069E-03 	 horizons 9.0
step 15120 	 return [0.         0.00561668 0.00457674], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.797E-02 	 horizons 9.0
step 15210 	 return [0.         0.00284551 0.00695774], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 1.099E-02 	 horizons 9.0
step 15300 	 return [0.00436076 0.00315716 0.00093176], ([2.2569000e-04 4.8240512e-05 1.6799377e-05]) 	 loss 1.272E-02 	 horizons 9.0
step 15390 	 return [0.00077931 0.00460739 0.00352603], ([0.00119321 0.00019384 0.00195866]) 	 loss 1.289E-02 	 horizons 9.0
step 15480 	 return [0.         0.00472954 0.00536414], ([0.         0.00011632 0.00010891]) 	 loss 6.616E-02 	 horizons 9.0
step 15570 	 return [0.         0.00484586 0.00547305], ([0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 2.861E-02 	 horizons 9.0
step 15660 	 return [0.00436076 0.00315716 0.00093176], ([2.2569002e-04 4.8240512e-05 1.6799375e-05]) 	 loss 1.615E-02 	 horizons 9.0
step 15750 	 return [0.00365118 0.00373669 0.00093897], ([2.6466386e-04 2.6010026e-04 1.4643498e-05]) 	 loss 1.753E-02 	 horizons 9.0
step 15840 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 7.138E-03 	 horizons 9.0
step 15930 	 return [0.00354902 0.00386549 0.00093517], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 1.132E-02 	 horizons 9.0
step 16020 	 return [0.         0.00363158 0.00623748], ([0.         0.00039304 0.00036013]) 	 loss 1.179E-02 	 horizons 9.0
step 16110 	 return [0.         0.0038281  0.00605741], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.552E-02 	 horizons 9.0
step 16200 	 return [0.         0.00294377 0.0068677 ], ([0.         0.00029478 0.0002701 ]) 	 loss 6.453E-03 	 horizons 9.0
step 16290 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 9.898E-03 	 horizons 9.0
step 16380 	 return [0.         0.00561668 0.00457674], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 9.248E-03 	 horizons 9.0
step 16470 	 return [0.         0.00284551 0.00695774], ([0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 1.146E-02 	 horizons 9.0
step 16560 	 return [0.00354902 0.00386549 0.00093517], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 1.111E-02 	 horizons 9.0
step 16650 	 return [0.00427554 0.00232077 0.00119885], ([0.0000000e+00 2.3283064e-10 1.1641532e-10]) 	 loss 9.534E-03 	 horizons 9.0
step 16740 	 return [0.         0.0048226  0.00545127], ([0.000000e+00 6.979220e-05 6.534462e-05]) 	 loss 1.573E-02 	 horizons 9.0
step 16830 	 return [0.         0.00561668 0.00457674], ([0.000000e+00 4.656613e-10 4.656613e-10]) 	 loss 1.236E-02 	 horizons 9.0
step 16920 	 return [0.00443599 0.00314108 0.00092616], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 1.539E-02 	 horizons 9.0
