 0.00000000e+00]) 	 loss 4.812E-03 	 horizons 9.0
step 9360 	 return [0.00276536 0.00681731 0.00258369 0.00218203 0.        ], ([5.6025165e-04 6.9067959e-04 9.3856061e-06 1.2742815e-05 0.0000000e+00]) 	 loss 7.664E-03 	 horizons 9.0
step 9450 	 return [0.00225147 0.00753725 0.00259367 0.00219595 0.        ], ([1.0466202e-06 2.1705911e-05 1.0296470e-06 1.7608285e-06 0.0000000e+00]) 	 loss 1.592E-02 	 horizons 9.0
step 9540 	 return [0.00089287 0.0075088  0.00356074 0.00212351 0.        ], ([0.00109354 0.00122001 0.00091747 0.00011627 0.        ]) 	 loss 6.560E-03 	 horizons 9.0
step 9630 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 3.775E-02 	 horizons 9.0
step 9720 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 9.278E-03 	 horizons 9.0
step 9810 	 return [0.00343229 0.00601202 0.00257277 0.00216739 0.        ], ([2.3283064e-10 0.0000000e+00 0.0000000e+00 2.3283064e-10 0.0000000e+00]) 	 loss 4.899E-03 	 horizons 9.0
step 9900 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 5.250E-03 	 horizons 9.0
step 9990 	 return [0.00112591 0.00776907 0.00259707 0.00220021 0.        ], ([1.1259109e-03 2.3574455e-04 3.3604981e-06 4.0640643e-06 0.0000000e+00]) 	 loss 3.821E-03 	 horizons 9.0
step 10080 	 return [0.0025962  0.00704837 0.00259114 0.00219257 0.        ], ([3.5101149e-04 4.7355355e-04 6.2388981e-06 8.6121809e-06 0.0000000e+00]) 	 loss 8.393E-03 	 horizons 9.0
step 10170 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.076E-02 	 horizons 9.0
step 10260 	 return [0.00234257 0.00741023 0.00259385 0.00219635 0.        ], ([1.8150276e-04 2.6850851e-04 3.2363459e-07 3.6889688e-07 0.0000000e+00]) 	 loss 5.465E-03 	 horizons 9.0
step 10350 	 return [0.00022518 0.00803827 0.0028494  0.00220652 0.        ], ([6.7554659e-04 1.9694505e-04 7.4610458e-04 6.5884969e-06 0.0000000e+00]) 	 loss 5.905E-03 	 horizons 9.0
step 10440 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 1.007E-02 	 horizons 9.0
step 10530 	 return [0.00224986 0.00739514 0.00270939 0.00217501 0.        ], ([5.8933856e-06 4.4803365e-04 3.4613561e-04 6.4578438e-05 0.0000000e+00]) 	 loss 3.675E-03 	 horizons 9.0
step 10620 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 4.205E-03 	 horizons 9.0
step 10710 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 3.844E-03 	 horizons 9.0
step 10800 	 return [0.00022518 0.00793632 0.00259928 0.00220285 0.        ], ([6.7554659e-04 1.6007328e-04 2.5088516e-06 3.0758433e-06 0.0000000e+00]) 	 loss 4.155E-03 	 horizons 9.0
step 10890 	 return [0.00225182 0.00754449 0.00259401 0.00219653 0.        ], ([2.3283064e-10 0.0000000e+00 2.3283064e-10 0.0000000e+00 0.0000000e+00]) 	 loss 7.818E-03 	 horizons 9.0
step 10980 	 return [0.         0.         0.0061852  0.00768153 0.00596812], ([0.000000e+00 0.000000e+00 4.656613e-10 0.000000e+00 0.000000e+00]) 	 loss 4.530E-03 	 horizons 9.0
step 11070 	 return [0.         0.00806482 0.00296811 0.00218828 0.        ], ([0.0000000e+00 6.0575694e-04 7.8583159e-04 6.7558576e-05 0.0000000e+00]) 	 loss 4.065E-03 	 horizons 9.0
step 11160 	 return [0.00273287 0.00685422 0.00259124 0.00219288 0.        ], ([2.6954716e-04 3.4476939e-04 6.1606816e-06 8.5005631e-06 0.0000000e+00]) 	 loss 1.068E-02 	 horizons 9.0
