step 12150 	 return [0.00132884 0.00686613 0.00254049 0.00140634 0.        ], ([0.00108499 0.00119697 0.0006112  0.00017347 0.        ]) 	 loss 1.059E-01 	 horizons 9.0
step 12240 	 return [0.00351861 0.00560841 0.00120725 0.001376   0.        ], ([0.00015194 0.00062675 0.00053294 0.00020235 0.        ]) 	 loss 9.960E-02 	 horizons 9.0
step 12330 	 return [0.         0.00920849 0.00544906 0.0013807  0.        ], ([0.000000e+00 5.411076e-04 4.421324e-04 3.772875e-05 0.000000e+00]) 	 loss 1.107E-01 	 horizons 9.0
step 12420 	 return [0.0002126  0.00961128 0.00337649 0.00135645 0.        ], ([4.2519084e-04 1.2261525e-03 3.7383224e-04 9.5525007e-05 0.0000000e+00]) 	 loss 8.684E-02 	 horizons 9.0
step 12510 	 return [0.00293404 0.00662811 0.00163691 0.00121547 0.        ], ([0.00064444 0.0005742  0.00036362 0.00016997 0.        ]) 	 loss 8.207E-02 	 horizons 9.0
step 12600 	 return [0.00031889 0.00823689 0.00391757 0.00132791 0.        ], ([0.00048712 0.00151036 0.00067315 0.00013655 0.        ]) 	 loss 9.978E-02 	 horizons 9.0
step 12690 	 return [0.         0.00423988 0.00770414 0.00344922 0.        ], ([0.0000000e+00 7.0806872e-04 3.3783488e-04 8.9346053e-05 0.0000000e+00]) 	 loss 9.756E-02 	 horizons 9.0
step 12780 	 return [0.         0.00764448 0.00661384 0.00145481 0.        ], ([0.         0.00022594 0.00027563 0.00015106 0.        ]) 	 loss 8.492E-02 	 horizons 9.0
step 12870 	 return [0.00010717 0.00759109 0.00310486 0.00151338 0.        ], ([3.2151240e-04 5.5436353e-04 7.2960177e-04 7.7587174e-05 0.0000000e+00]) 	 loss 8.587E-02 	 horizons 9.0
step 12960 	 return [0.         0.         0.00387267 0.00701116 0.00713854], ([0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.656613e-10]) 	 loss 1.040E-01 	 horizons 9.0
step 13050 	 return [0.         0.00449951 0.00755886 0.00367243 0.        ], ([0.0000000e+00 6.8045578e-05 4.5237143e-04 3.7272714e-04 0.0000000e+00]) 	 loss 7.900E-02 	 horizons 9.0
step 13140 	 return [0.00264954 0.00552968 0.00242357 0.00151741 0.        ], ([1.2886804e-05 5.5558607e-04 4.6115500e-04 8.6104592e-05 0.0000000e+00]) 	 loss 1.656E-01 	 horizons 9.0
step 13230 	 return [0.00063779 0.0083882  0.00376181 0.00123776 0.        ], ([5.2075036e-04 1.5116690e-03 4.4404814e-04 9.0721267e-05 0.0000000e+00]) 	 loss 1.031E-01 	 horizons 9.0
