step 25703 	 return [0.00860859 0.01118115 0.00982268], ([0.00061664 0.00108373 0.00092045]) 	 loss 2.366E-01 	 horizons 19.0
step 25893 	 return [0.00763423 0.01138858 0.01125326], ([0.00047196 0.00063265 0.00053178]) 	 loss 2.300E-01 	 horizons 19.0
step 26083 	 return [0.00784664 0.01168123 0.01038037], ([0.00051841 0.00060469 0.00077198]) 	 loss 2.190E-01 	 horizons 19.0
step 26273 	 return [0.00810312 0.01121839 0.01056989], ([0.00045803 0.00061778 0.00063525]) 	 loss 2.160E-01 	 horizons 19.0
step 26463 	 return [0.00837938 0.01155843 0.01093459], ([0.00024481 0.00086491 0.00051832]) 	 loss 2.128E-01 	 horizons 19.0
step 26653 	 return [0.00940059 0.01073542 0.00957398], ([0.00086856 0.00045489 0.00113991]) 	 loss 2.117E-01 	 horizons 19.0
step 26843 	 return [0.00771918 0.01135124 0.01106673], ([0.00039028 0.00074534 0.00069446]) 	 loss 2.234E-01 	 horizons 19.0
step 27033 	 return [0.00846835 0.01151408 0.01071886], ([0.00048149 0.00049377 0.00065971]) 	 loss 1.996E-01 	 horizons 19.0
step 27223 	 return [0.00948251 0.01087836 0.00929366], ([0.00084666 0.00060341 0.00128394]) 	 loss 2.033E-01 	 horizons 19.0
step 27413 	 return [0.00847879 0.01127898 0.01037857], ([0.00024444 0.00052996 0.00069521]) 	 loss 2.106E-01 	 horizons 19.0
step 27603 	 return [0.00874449 0.01137242 0.01065322], ([0.00032286 0.00028007 0.00059872]) 	 loss 2.000E-01 	 horizons 19.0
step 27793 	 return [0.00856562 0.01160973 0.01076262], ([0.00040037 0.00036556 0.00037435]) 	 loss 1.892E-01 	 horizons 19.0
step 27983 	 return [0.00875838 0.0113381  0.01075166], ([0.00042771 0.00045461 0.00011895]) 	 loss 1.867E-01 	 horizons 19.0
step 28173 	 return [0.00847227 0.01131749 0.01087556], ([0.00044967 0.00075685 0.00034399]) 	 loss 1.809E-01 	 horizons 19.0
step 28363 	 return [0.00834416 0.01034845 0.00982136], ([0.00104149 0.00312322 0.00325564]) 	 loss 1.784E-01 	 horizons 19.0
step 28553 	 return [0.00754045 0.01150956 0.01165973], ([0.000572   0.00051418 0.00063939]) 	 loss 1.691E-01 	 horizons 19.0
step 28743 	 return [0.00848591 0.01135713 0.01136116], ([0.00043165 0.00080735 0.0006311 ]) 	 loss 1.818E-01 	 horizons 19.0
step 28933 	 return [0.00912512 0.01118436 0.01077147], ([0.00017918 0.00016795 0.00014978]) 	 loss 1.779E-01 	 horizons 19.0
step 29123 	 return [0.00873324 0.01119108 0.01090804], ([0.00047263 0.00071378 0.00063601]) 	 loss 1.585E-01 	 horizons 19.0
step 29313 	 return [0.008263   0.01132035 0.01129867], ([0.00071191 0.00109628 0.00044604]) 	 loss 1.546E-01 	 horizons 19.0
step 29503 	 return [0.00813609 0.01129227 0.0116688 ], ([0.00079948 0.00107791 0.00039861]) 	 loss 1.703E-01 	 horizons 19.0
step 29693 	 return [0.00807231 0.01141843 0.01127593], ([0.00065089 0.00076701 0.00061318]) 	 loss 1.713E-01 	 horizons 19.0
step 29883 	 return [0.00867654 0.01153827 0.01087156], ([0.00030205 0.00035931 0.00071203]) 	 loss 1.544E-01 	 horizons 19.0
step 30073 	 return [0.00864311 0.01158081 0.01069412], ([0.00026018 0.00034664 0.00014574]) 	 loss 1.425E-01 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-spatial__42__1781487937[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/d8jeei5n[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_034537-d8jeei5n/logs[0m
