step 23380 	 return [0.00994049 0.01001172 0.01271172], ([0.00028681 0.00038117 0.0012172 ]) 	 loss 1.480E-01 	 horizons 19.0
step 23570 	 return [0.00945439 0.01051581 0.01248826], ([0.00063131 0.0007373  0.0010418 ]) 	 loss 1.549E-01 	 horizons 19.0
step 23760 	 return [0.00955623 0.01010775 0.01269863], ([0.00065714 0.00056772 0.00133532]) 	 loss 1.594E-01 	 horizons 19.0
step 23950 	 return [0.00993911 0.0100746  0.0130949 ], ([3.0499601e-04 2.3748145e-04 4.3991418e-05]) 	 loss 1.429E-01 	 horizons 19.0
step 24140 	 return [0.00901227 0.01075041 0.0130095 ], ([0.00090773 0.00086899 0.00071602]) 	 loss 1.474E-01 	 horizons 19.0
step 24330 	 return [0.00850226 0.01107765 0.0131286 ], ([0.00066088 0.00097844 0.00058906]) 	 loss 1.270E-01 	 horizons 19.0
step 24520 	 return [0.00883659 0.01102281 0.01299759], ([0.00084765 0.00155422 0.0007227 ]) 	 loss 1.217E-01 	 horizons 19.0
step 24710 	 return [0.00874814 0.01116287 0.01300458], ([0.00085262 0.00079429 0.00026109]) 	 loss 1.153E-01 	 horizons 19.0
step 24900 	 return [0.00990051 0.01011035 0.0130467 ], ([0.00027518 0.00021729 0.00013065]) 	 loss 1.048E-01 	 horizons 19.0
step 25090 	 return [0.00942205 0.01090379 0.01254573], ([0.00059143 0.00112933 0.0010885 ]) 	 loss 8.601E-02 	 horizons 19.0
step 25280 	 return [0.0092466  0.01183287 0.01181283], ([0.00082472 0.00144195 0.00164535]) 	 loss 9.430E-02 	 horizons 19.0
step 25470 	 return [0.00951946 0.01047122 0.01315126], ([0.00041947 0.00047152 0.0001372 ]) 	 loss 8.915E-02 	 horizons 19.0
step 25660 	 return [0.00973607 0.01024944 0.01306631], ([3.1338789e-04 2.7193304e-04 4.3632099e-05]) 	 loss 8.188E-02 	 horizons 19.0
step 25850 	 return [0.00991102 0.01011403 0.0130926 ], ([2.8460397e-04 2.1255639e-04 4.2224678e-05]) 	 loss 6.237E-02 	 horizons 19.0
step 26040 	 return [0.00894695 0.01127367 0.01273625], ([0.0007348  0.00107624 0.00076833]) 	 loss 7.810E-02 	 horizons 19.0
step 26230 	 return [0.00961486 0.01056599 0.01314804], ([0.00039465 0.00060141 0.00011479]) 	 loss 8.751E-02 	 horizons 19.0
step 26420 	 return [0.00950227 0.01059266 0.01302788], ([4.3361526e-04 6.5032160e-04 8.5165637e-05]) 	 loss 7.093E-02 	 horizons 19.0
step 26610 	 return [0.00953578 0.01051549 0.0130722 ], ([2.4453193e-04 3.5225184e-04 8.7011729e-05]) 	 loss 9.422E-02 	 horizons 19.0
step 26800 	 return [0.00989966 0.01062088 0.01268363], ([0.00035606 0.00114386 0.00132675]) 	 loss 8.201E-02 	 horizons 19.0
step 26990 	 return [0.00964826 0.01043247 0.01308934], ([3.2099808e-04 3.9692351e-04 8.6482418e-05]) 	 loss 7.488E-02 	 horizons 19.0
step 27180 	 return [0.00866047 0.01078319 0.01327632], ([0.00071272 0.00102997 0.00072935]) 	 loss 6.862E-02 	 horizons 19.0
step 27370 	 return [0.0097081  0.01034523 0.01306741], ([3.2554343e-04 2.8593218e-04 4.6318644e-05]) 	 loss 9.151E-02 	 horizons 19.0
step 27560 	 return [0.00957477 0.01044847 0.01300322], ([0.00024764 0.00020862 0.00014491]) 	 loss 7.360E-02 	 horizons 19.0
step 27750 	 return [0.00944048 0.01064047 0.01293395], ([0.00044279 0.00044419 0.00045244]) 	 loss 6.187E-02 	 horizons 19.0
step 27940 	 return [0.00987417 0.01048368 0.01273631], ([0.00041165 0.0007034  0.00114275]) 	 loss 6.436E-02 	 horizons 19.0
step 28130 	 return [0.00909837 0.01141338 0.01277403], ([0.00049399 0.00063465 0.00096848]) 	 loss 6.142E-02 	 horizons 19.0
step 28320 	 return [0.00998608 0.01009626 0.0131063 ], ([2.7770360e-04 2.5389905e-04 3.8628121e-05]) 	 loss 6.639E-02 	 horizons 19.0
step 28510 	 return [0.00925068 0.01107608 0.01312123], ([0.0003019  0.00059001 0.00017401]) 	 loss 6.421E-02 	 horizons 19.0
step 28700 	 return [0.0095762  0.01085894 0.01268889], ([0.00026823 0.00111459 0.00105715]) 	 loss 6.628E-02 	 horizons 19.0
step 28890 	 return [0.00975498 0.01077372 0.01274559], ([0.00045224 0.00100372 0.00104688]) 	 loss 5.853E-02 	 horizons 19.0
step 29080 	 return [0.01004225 0.01001741 0.01311089], ([3.0192043e-04 2.8458433e-04 4.0746800e-05]) 	 loss 6.512E-02 	 horizons 19.0
step 29270 	 return [0.00952067 0.0105024  0.01303998], ([2.2955293e-04 2.1630198e-04 3.0884519e-05]) 	 loss 6.997E-02 	 horizons 19.0
step 29460 	 return [0.00935527 0.01066638 0.0130791 ], ([0.00026664 0.00027564 0.00014827]) 	 loss 5.314E-02 	 horizons 19.0
step 29650 	 return [0.0097081  0.01034523 0.01306741], ([3.2554343e-04 2.8593218e-04 4.6318644e-05]) 	 loss 6.211E-02 	 horizons 19.0
step 29840 	 return [0.00970234 0.01076951 0.01270653], ([0.00043465 0.00095685 0.00103107]) 	 loss 5.472E-02 	 horizons 19.0
step 30030 	 return [0.00900438 0.01047493 0.0133492 ], ([0.00069815 0.00022804 0.00068888]) 	 loss 5.726E-02 	 horizons 19.0
[1;34mwandb[0m: 
[1;34mwandb[0m: 🚀 View run [33mmotndp_xian-v0__GCN-xian-g3-spatiotemporal__789__1781487947[0m at: [34mhttps://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/j6i60nqj[0m
[1;34mwandb[0m: Find logs at: [1;35mwandb/run-20260615_034547-j6i60nqj/logs[0m
