step 18618 	 return [0.00449168 0.00919495 0.0096058  0.00482948 0.00880792], ([0.00075077 0.00084007 0.00179868 0.00108209 0.00099559]) 	 loss 2.550E-01 	 horizons 19.0
step 18808 	 return [0.00473607 0.0072477  0.01061177 0.00826893 0.00659009], ([0.00052136 0.0009259  0.0015189  0.00242442 0.00197827]) 	 loss 2.709E-01 	 horizons 19.0
step 18998 	 return [0.00455958 0.0070202  0.01016061 0.00862329 0.00795818], ([0.00075542 0.00092137 0.00083431 0.00186414 0.00178942]) 	 loss 2.481E-01 	 horizons 19.0
step 19188 	 return [0.00470362 0.00728379 0.01057307 0.00651023 0.00859947], ([0.00056639 0.00091544 0.00085615 0.00174138 0.0011431 ]) 	 loss 2.391E-01 	 horizons 19.0
step 19378 	 return [0.00464892 0.00772132 0.01081837 0.00559731 0.00898225], ([0.00055516 0.00045532 0.00089755 0.00106949 0.00096116]) 	 loss 2.183E-01 	 horizons 19.0
step 19568 	 return [0.00440192 0.00954174 0.00925783 0.00528253 0.00821895], ([0.00086504 0.00107607 0.00182933 0.0010337  0.00138972]) 	 loss 2.234E-01 	 horizons 19.0
step 19758 	 return [0.00494911 0.01010233 0.00931588 0.00472758 0.00814349], ([4.3118649e-05 5.6730933e-04 1.7513622e-03 1.3407955e-03 9.7771618e-04]) 	 loss 2.153E-01 	 horizons 19.0
step 19948 	 return [0.00433731 0.00858624 0.01080906 0.00581368 0.00798967], ([0.0008319  0.00076416 0.0019361  0.00154242 0.00183223]) 	 loss 2.179E-01 	 horizons 19.0
step 20138 	 return [0.00481717 0.00701453 0.01002876 0.0087271  0.00854642], ([0.00056543 0.00072562 0.00193122 0.00200878 0.00167139]) 	 loss 2.241E-01 	 horizons 19.0
step 20328 	 return [0.00453504 0.00835304 0.00988925 0.00506576 0.0092522 ], ([0.00075439 0.00073314 0.00107778 0.0015328  0.0009711 ]) 	 loss 2.238E-01 	 horizons 19.0
step 20518 	 return [0.00422734 0.00675686 0.01097814 0.007817   0.00931314], ([0.00089236 0.00102577 0.00128463 0.0020137  0.00069208]) 	 loss 2.118E-01 	 horizons 19.0
step 20708 	 return [0.00455906 0.0095947  0.01036714 0.0056658  0.00812263], ([0.00075522 0.00055044 0.0006713  0.0014584  0.00187865]) 	 loss 2.161E-01 	 horizons 19.0
step 20898 	 return [0.00494386 0.00689099 0.01106477 0.00685778 0.00885493], ([4.1363168e-05 1.0254793e-03 9.0185512e-04 8.8821450e-04 3.9328370e-04]) 	 loss 1.861E-01 	 horizons 19.0
step 21088 	 return [0.00497409 0.00697666 0.01018959 0.00766934 0.00911137], ([3.1634019e-05 7.0216163e-04 1.3389017e-03 1.2029983e-03 4.9792707e-04]) 	 loss 1.942E-01 	 horizons 19.0
step 21278 	 return [0.00437401 0.0112479  0.00992352 0.00546062 0.00713823], ([0.00091113 0.00062145 0.00127371 0.00103468 0.00155105]) 	 loss 1.726E-01 	 horizons 19.0
step 21468 	 return [0.00497728 0.00712858 0.0104698  0.00751696 0.00793012], ([3.7973565e-05 3.9650185e-04 5.9220276e-04 1.7143867e-03 1.9012898e-03]) 	 loss 1.814E-01 	 horizons 19.0
step 21658 	 return [0.00498734 0.00684865 0.0100166  0.00801147 0.00873268], ([5.5180521e-05 9.6640550e-04 2.0233765e-03 1.5543026e-03 1.5057484e-03]) 	 loss 1.706E-01 	 horizons 19.0
